duration,cast_total_facebook_likes,title_year,imdb_score,movie_facebook_likes,director_id,actor_2_id,actor_1_id,actor_3_id,Action,Sport,Reality-TV,Animation,Western,Music,Comedy,Adventure,Short,Musical,Documentary,Film-Noir,News,Sci-Fi,Game-Show,War,Thriller,Fantasy,Drama,Horror,Family,Mystery,Biography,Crime,History,Romance,language_id,country_id,content_rating_id,movie_title
143,20495,2013,7.2,118000,10,14,10,14,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Man of Steel
150,22697,2008,6.6,0,13,15,13,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,The Chronicles of Narnia: Prince Caspian
173,87697,2012,8.1,123000,8,8,8,8,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Avengers
136,54083,2011,6.7,58000,14,16,1,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Pirates of the Caribbean: On Stranger Tides
106,12572,2012,6.8,40000,15,17,14,17,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Men in Black 3
164,9152,2014,7.5,65000,16,18,15,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,The Hobbit: The Battle of the Five Armies
153,28489,2012,7.0,56000,17,19,16,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Amazing Spider-Man
156,3244,2010,6.7,17000,18,20,17,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Robin Hood
186,9152,2013,7.9,83000,16,18,15,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Hobbit: The Desolation of Smaug
113,24106,2007,6.1,0,19,21,18,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,The Golden Compass
201,7123,2005,7.2,0,16,22,19,22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,King Kong
194,45223,1997,7.7,26000,0,23,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Titanic
147,64798,2016,8.2,72000,20,24,21,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Captain America: Civil War
131,26679,2012,5.9,44000,21,25,22,25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Battleship
124,8458,2015,7.0,150000,22,26,23,26,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jurassic World
143,2039,2012,7.8,80000,2,27,24,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Skyfall
135,43388,2004,7.3,0,6,6,6,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Spider-Man 2
195,30426,2013,7.2,95000,23,28,21,27,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iron Man 3
108,79957,2010,6.5,24000,24,29,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Alice in Wonderland
104,21714,2006,6.8,0,25,30,25,29,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,X-Men: The Last Stand
104,14863,2013,7.3,44000,26,31,26,30,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Monsters University
150,3218,2009,6.0,0,27,32,27,31,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transformers: Revenge of the Fallen
165,3988,2014,5.7,56000,27,33,28,32,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transformers: Age of Extinction
130,73441,2013,6.4,60000,6,34,29,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Oz the Great and Powerful
142,28631,2014,6.7,41000,17,19,16,34,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Amazing Spider-Man 2
125,25550,2010,6.8,30000,28,35,30,35,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,TRON: Legacy
106,4482,2011,6.3,10000,29,22,31,36,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Cars 2
123,17657,2011,5.6,24000,30,36,32,37,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Green Lantern
103,19085,2010,8.3,30000,31,37,33,38,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Toy Story 3
118,27468,2009,6.6,0,32,38,34,39,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terminator Salvation
140,79150,2015,7.2,94000,33,39,35,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Furious 7
123,32392,2013,7.0,129000,12,40,36,41,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,World War Z
149,91434,2014,8.0,82000,11,41,37,42,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,X-Men: Days of Future Past
132,21411,2013,7.8,92000,34,42,38,43,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Star Trek Into Darkness
114,1766,2013,6.3,22000,11,43,39,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Jack the Giant Slayer
143,29770,2013,7.3,115000,35,44,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,The Great Gatsby
116,16149,2010,6.6,23000,36,45,40,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Prince of Persia: The Sands of Time
131,19166,2013,7.0,83000,37,46,41,47,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pacific Rim
154,2593,2011,6.3,46000,27,47,27,48,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transformers: Dark of the Moon
122,14959,2008,6.2,5000,38,48,42,49,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Indiana Jones and the Kingdom of the Crystal Skull
93,696,2015,6.8,20000,39,49,43,50,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,The Good Dinosaur
93,5005,2012,7.2,39000,40,37,44,51,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Brave
122,1327,2016,7.5,30000,41,50,45,52,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Star Trek Beyond
98,2975,2008,8.4,16000,5,51,46,53,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,WALL·E
91,1125,2007,6.2,0,25,52,47,54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Rush Hour 3
158,2144,2009,5.8,13000,42,53,48,55,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
96,48878,2009,6.8,0,43,54,49,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,A Christmas Carol
127,47334,2015,5.4,44000,44,34,50,57,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jupiter Ascending
110,21175,2016,6.6,29000,9,25,2,58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,The Legend of Tarzan
150,1317,2005,6.9,0,13,55,51,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
144,49684,2016,7.3,54000,11,56,37,60,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X-Men: Apocalypse
152,57802,2008,9.0,37000,3,57,34,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,The Dark Knight
96,2635,2009,8.3,27000,45,58,46,62,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Up
94,2579,2009,6.5,0,46,59,52,63,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Monsters vs. Aliens
126,39252,2008,7.9,10000,47,60,21,64,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iron Man
126,36017,2011,7.5,42000,48,61,53,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,Hugo
106,15870,1999,4.8,0,15,62,14,66,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wild Wild West
112,9131,2008,5.2,0,49,63,54,67,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,The Mummy: Tomb of the Dragon Emperor
123,11287,2016,6.9,80000,50,64,14,68,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Suicide Squad
96,108016,2007,5.4,2000,51,65,55,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Evan Almighty
113,12652,2014,7.9,77000,52,66,56,70,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edge of Tomorrow
176,1004,1995,6.1,0,53,67,57,71,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Waterworld
118,26683,2009,5.8,0,54,68,58,72,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,G.I. Joe: The Rise of Cobra
95,2944,2015,8.3,118000,45,69,52,73,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,Inside Out
106,32921,2016,7.8,65000,47,70,59,74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,The Jungle Book
124,48638,2010,7.0,18000,47,24,21,64,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iron Man 2
132,72881,2012,6.1,53000,55,71,8,75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Snow White and the Huntsman
97,15516,2014,7.0,89000,56,72,60,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,Maleficent
130,14363,2014,7.6,45000,57,26,61,77,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Dawn of the Planet of the Apes
109,1982,2015,4.5,677,58,73,62,78,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,The Lovers
128,20965,2013,6.3,35000,59,74,63,79,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,47 Ronin
136,36188,2014,7.8,55000,20,75,59,80,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Captain America: The Winter Soldier
93,4628,2010,6.4,0,60,76,64,81,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Shrek Forever After
130,5046,2015,6.5,37000,61,77,65,82,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,Tomorrowland
102,2963,2014,7.9,41000,62,78,66,83,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Big Hero 6
101,4451,2012,7.8,40000,63,79,67,84,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Wreck-It Ralph
100,16264,2004,6.6,10000,43,80,33,85,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,The Polar Express
120,3233,2016,5.5,67000,42,81,68,86,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Independence Day: Resurgence
98,20453,2010,8.2,33000,64,82,69,87,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,How to Train Your Dragon
109,1769,2003,6.4,0,65,83,70,88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Terminator 3: Rise of the Machines
121,32438,2014,8.1,96000,66,84,71,89,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guardians of the Galaxy
169,31488,2014,8.6,349000,3,85,72,90,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Interstellar
148,81115,2010,8.8,175000,3,86,20,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inception
120,699,2016,8.2,0,67,87,73,91,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,6,1,Godzilla Resurgence
182,9152,2012,7.9,166000,16,18,15,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Hobbit: An Unexpected Journey
106,45327,2001,6.7,14000,49,84,74,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,The Fast and the Furious
166,13333,2008,7.8,23000,68,88,75,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,The Curious Case of Benjamin Button
132,50983,2011,7.8,54000,69,56,37,94,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X-Men: First Class
137,81385,2015,6.6,38000,70,89,37,95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Hunger Games: Mockingjay - Part 2
109,13388,2010,6.1,11000,71,90,76,96,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,The Sorcerer's Apprentice
98,92456,2006,5.6,0,72,91,55,97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Poseidon
113,80806,2016,6.4,30000,73,29,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Alice Through the Looking Glass
93,4705,2007,6.1,0,74,92,77,98,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Shrek the Third
123,5505,2016,7.3,89000,75,93,78,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Warcraft
126,38873,2015,6.6,82000,76,94,6,100,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terminator Genisys
113,764,2010,6.3,11000,77,95,79,101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,The Chronicles of Narnia: The Voyage of the Dawn Treader
184,5401,2001,6.1,0,27,96,80,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,Pearl Harbor
144,2333,2007,7.1,8000,27,97,81,48,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Transformers
206,24598,2004,5.5,0,78,98,82,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,7,4,Alexander
138,33433,2007,7.5,0,9,9,83,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,Harry Potter and the Order of the Phoenix
157,53413,2005,7.6,0,36,9,83,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,Harry Potter and the Goblet of Fire
102,21584,2008,6.4,0,21,99,14,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hancock
104,13076,2007,7.2,11000,70,100,14,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,I Am Legend
115,57844,2005,6.7,0,24,61,1,107,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Charlie and the Chocolate Factory
111,4764,2007,8.0,10000,61,37,84,108,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Ratatouille
128,59558,2005,8.3,15000,3,101,34,61,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Batman Begins
89,3285,2008,6.7,0,79,102,85,109,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Madagascar: Escape 2 Africa
105,54039,2009,5.9,2000,80,103,86,110,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Night at the Museum: Battle of the Smithsonian
119,40054,2009,6.7,0,81,104,25,111,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,X-Men Origins: Wolverine
129,1062,2003,6.7,0,44,105,87,112,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,The Matrix Revolutions
102,2582,2013,7.6,58000,82,106,88,113,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Frozen
138,534,2003,7.2,0,44,107,89,114,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,The Matrix Reloaded
112,59803,2013,7.1,63000,76,108,8,115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Thor: The Dark World
120,40025,2015,8.1,191000,83,99,3,116,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,Mad Max: Fury Road
146,16948,2009,6.7,0,84,109,33,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Angels & Demons
115,60059,2011,7.0,63000,85,108,8,115,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Thor
96,20007,2008,6.9,0,86,110,53,118,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,Bolt
88,2217,2009,5.1,0,87,111,90,119,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,G-Force
99,16184,2012,5.8,19000,88,112,22,120,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Wrath of the Titans
113,80849,2012,6.2,82000,24,113,1,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Dark Shadows
131,21840,2015,7.4,47000,89,114,56,122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,Mission: Impossible - Rogue Nation
119,13071,2010,5.8,0,90,115,82,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,The Wolfman
110,21175,2016,6.6,29000,9,25,2,58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,The Legend of Tarzan
91,6576,2007,6.2,0,91,116,91,124,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Bee Movie
90,21015,2011,7.3,20000,92,117,60,125,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Kung Fu Panda 2
103,2857,2010,4.2,18000,93,118,92,126,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,The Last Airbender
124,34817,2006,6.9,0,34,119,93,105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Mission: Impossible III
131,18204,2013,6.4,33000,42,120,50,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,White House Down
88,2652,2011,5.4,0,94,121,94,128,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Mars Needs Moms
85,35161,2006,6.7,0,95,23,25,129,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Flushed Away
111,21393,2015,5.8,24000,96,122,25,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,Pan
92,5810,2014,6.9,11000,97,123,95,131,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Mr. Peabody & Sherman
196,17944,2004,7.2,0,72,1,75,132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Troy
93,2444,2012,6.9,17000,79,124,96,109,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Madagascar 3: Europe's Most Wanted
